date,open,high,low,close,volume
2024/1/2,5431.48 ,5439.48 ,5409.46 ,5409.46 ,1068.40 
2024/1/3,5398.29 ,5428.52 ,5373.83 ,5401.40 ,998.84 
2024/1/4,5395.14 ,5395.14 ,5331.89 ,5355.32 ,910.11 
2024/1/5,5347.07 ,5373.68 ,5260.59 ,5281.87 ,1010.85 
2024/1/8,5268.23 ,5268.98 ,5167.70 ,5167.70 ,927.93 
2024/1/9,5176.11 ,5220.46 ,5153.00 ,5180.65 ,909.60 
2024/1/10,5167.73 ,5211.82 ,5118.43 ,5158.08 ,842.28 
2024/1/11,5152.36 ,5243.14 ,5146.90 ,5223.86 ,1061.52 
2024/1/12,5213.14 ,5262.62 ,5206.16 ,5206.18 ,932.71 
2024/1/15,5189.53 ,5238.96 ,5171.24 ,5193.30 ,880.28 
2024/1/16,5188.37 ,5210.08 ,5124.08 ,5190.40 ,923.38 
2024/1/17,5180.93 ,5180.93 ,5061.54 ,5061.54 ,879.31 
2024/1/18,5033.10 ,5069.23 ,4924.68 ,5066.96 ,1234.36 
2024/1/19,5056.48 ,5084.29 ,5014.77 ,5018.43 ,920.39 
2024/1/22,5008.68 ,5008.77 ,4753.63 ,4780.97 ,1156.23 
2024/1/23,4771.50 ,4889.42 ,4727.88 ,4865.74 ,1078.09 
2024/1/24,4886.20 ,4941.44 ,4766.80 ,4933.70 ,1126.83 
2024/1/25,4931.63 ,5074.49 ,4910.96 ,5073.18 ,1348.23 
2024/1/26,5055.29 ,5086.13 ,5009.97 ,5027.09 ,1192.33 
2024/1/29,5032.11 ,5050.11 ,4927.91 ,4927.91 ,1178.35 
2024/1/30,4898.36 ,4939.35 ,4810.10 ,4814.99 ,954.74 
2024/1/31,4786.81 ,4832.40 ,4690.94 ,4696.98 ,1165.93 
2024/2/1,4667.91 ,4771.05 ,4629.99 ,4678.73 ,1075.09 
2024/2/2,4686.10 ,4724.05 ,4435.56 ,4563.22 ,1249.53 
2024/2/5,4527.71 ,4598.06 ,4281.24 ,4460.26 ,1435.47 
2024/2/6,4411.30 ,4817.12 ,4405.31 ,4805.90 ,1564.85 
2024/2/7,4813.95 ,5110.80 ,4813.23 ,5109.57 ,2126.18 
2024/2/8,5131.80 ,5367.22 ,5129.78 ,5150.23 ,2122.56 
2024/2/19,5225.14 ,5225.14 ,5074.76 ,5141.60 ,1728.06 
2024/2/20,5107.57 ,5151.72 ,5072.88 ,5140.96 ,1332.42 
2024/2/21,5101.41 ,5252.88 ,5074.82 ,5139.04 ,1555.61 
2024/2/22,5133.55 ,5184.62 ,5117.68 ,5176.34 ,1275.47 
2024/2/23,5190.65 ,5197.71 ,5118.57 ,5197.71 ,1454.42 
2024/2/26,5194.74 ,5255.36 ,5162.95 ,5195.46 ,1526.01 
2024/2/27,5174.82 ,5307.80 ,5160.88 ,5307.80 ,1572.02 
2024/2/28,5311.43 ,5383.32 ,5184.05 ,5184.05 ,2141.35 
2024/2/29,5154.15 ,5349.77 ,5154.15 ,5346.79 ,1789.76 
2024/3/1,5350.86 ,5387.78 ,5321.56 ,5379.05 ,1711.03 
2024/3/4,5386.94 ,5400.12 ,5325.96 ,5388.82 ,1759.06 
2024/3/5,5358.22 ,5382.98 ,5329.97 ,5351.83 ,1742.83 
