date,open,high,low,close,volume,turnover rate,PE_TTM,PB_LF,number of advancing stocks,number of declining stocks,market capitalization
2010/1/4,3592.47,3597.75,3535.23,3535.23,934.2,0.64,27.94,3.31,82,202,219323.26
2010/1/5,3545.19,3577.53,3497.66,3564.04,1283.02,0.83,28.24,3.34,180,109,221739.44
2010/1/6,3558.7,3588.83,3541.17,3541.73,1210.46,0.76,27.97,3.31,126,158,219647.66
2010/1/7,3543.16,3558.56,3452.77,3471.46,1204.36,0.78,27.37,3.25,25,266,215420.54
2010/1/8,3456.91,3482.08,3426.7,3480.13,901.91,0.59,27.35,3.25,176,101,215282.2
2010/1/11,3593.11,3594.53,3465.32,3482.05,1341.14,0.85,27.47,3.26,135,153,216217.02
2010/1/12,3477.84,3535.41,3437.66,3534.92,1340.71,0.89,27.95,3.32,268,26,220061.17
2010/1/13,3448.29,3490.11,3415.69,3421.14,1598.6,1.07,26.9,3.21,66,227,212198.51
2010/1/14,3433.47,3470.32,3411.81,3469.05,1181.08,0.79,27.18,3.24,279,14,214466.68
2010/1/15,3472.52,3500.07,3448.66,3482.74,1040.35,0.69,27.23,3.25,174,111,214895.09
2010/1/18,3471.78,3501.26,3458.04,3500.68,1178.84,0.79,27.01,3.25,211,81,215363.98
2010/1/19,3506.81,3528.39,3497.09,3507.48,1080.24,0.71,27.08,3.26,133,153,215915.44
2010/1/20,3512.25,3515.45,3387.82,3394.43,1284.16,0.88,26.28,3.17,21,272,209691.15
2010/1/21,3397.04,3425.18,3364.72,3408.57,1000.77,0.67,26.36,3.18,153,136,210345.08
2010/1/22,3364.45,3390.8,3293.19,3366.2,1191.98,0.84,26.2,3.16,49,245,209123.28
2010/1/25,3340.01,3372.43,3326.27,3328.01,766.27,0.5,25.95,3.12,56,230,207140.85
2010/1/26,3328.11,3341.2,3222.14,3242.8,815.86,0.58,25.4,3.05,23,271,202710.08
2010/1/27,3243.04,3255.12,3183.37,3198.57,705.4,0.5,25.07,3.01,85,206,200056.88
2010/1/28,3195.29,3220.31,3168.46,3206.57,640.82,0.45,25.07,3.01,224,63,200038.61
2010/1/29,3190.32,3249.46,3176.92,3204.16,680.18,0.48,24.99,3,124,159,199542.92
2010/2/1,3198.23,3198.31,3116.44,3152.71,759.82,0.54,24.55,2.95,77,217,196185.52
2010/2/2,3170.78,3211.94,3143.09,3146.19,683.18,0.47,24.52,2.95,100,187,196003.89
2010/2/3,3160.71,3231.1,3094.57,3230.72,875.36,0.61,25.16,3.03,251,39,201171.08
2010/2/4,3206.43,3242.52,3190.44,3218.8,754.67,0.56,24.97,3.01,119,169,199903
2010/2/5,3147.72,3177.42,3129.92,3153.09,736.93,0.56,24.49,2.95,34,258,196111.65
2010/2/8,3152.25,3172.31,3133.81,3150.99,479.02,0.35,24.46,2.94,155,132,195850.74
2010/2/9,3147.76,3178.95,3144.48,3169.19,452.23,0.34,24.57,2.96,200,90,196808.88
2010/2/10,3195.14,3214.46,3182.83,3214.13,481.52,0.32,24.86,2.99,260,30,199112.68
2010/2/11,3216.69,3238.35,3207.17,3220.4,470,0.34,24.9,3,142,138,199557.83
2010/2/12,3232.88,3253.2,3228.74,3251.28,467.03,0.32,25.19,3.03,271,19,201789.99
2010/2/22,3248.95,3261.95,3232.78,3233.35,499.81,0.36,25.02,3.01,104,187,200462.71
2010/2/23,3225.39,3225.39,3152.93,3198.63,623.86,0.4,24.74,2.98,106,185,198218.92
2010/2/24,3177.08,3244.82,3165.13,3244.48,644.14,0.47,25.04,3.01,279,13,200593.67
2010/2/25,3252.15,3294.14,3249.33,3292.13,894.86,0.64,25.34,3.05,271,17,203096.21
2010/2/26,3286.1,3301.15,3273.69,3281.67,701.72,0.49,25.2,3.03,89,190,202299.77
2010/3/1,3290.01,3330.38,3287.56,3324.42,812.06,0.57,25.48,3.07,236,51,204806.33
2010/3/2,3327.1,3339.89,3299.69,3311.24,762.34,0.54,25.33,3.05,90,197,203764.26
2010/3/3,3313.02,3335.65,3293.92,3335.08,784.42,0.57,25.47,3.07,233,53,204918.81
2010/3/4,3338.67,3345.91,3244.98,3250.57,894.63,0.66,24.93,3.01,15,277,200560.75
2010/3/5,3253.16,3276.4,3239.68,3259.76,596.21,0.43,24.92,3.01,168,113,200891.2
2010/3/8,3268.4,3293.93,3258.03,3286.18,546.87,0.39,25.07,3.03,240,38,202124.99
2010/3/9,3285.62,3322.51,3255.98,3305.86,719.71,0.51,25.22,3.05,167,115,203544.99
2010/3/10,3304.04,3321.08,3267.76,3279.69,617.6,0.44,25.02,3.03,63,226,202377.1
2010/3/11,3282.2,3303.49,3251.7,3276.71,637.33,0.45,25.05,3.03,100,188,202767.8
2010/3/12,3277.31,3284.26,3232.12,3233.13,526.11,0.38,24.63,3,31,265,200347.93
2010/3/15,3231.22,3234.82,3171.8,3183.18,492.2,0.36,24.2,2.95,60,231,197420.83
2010/3/16,3183.78,3204.29,3169.1,3203.97,415.1,0.29,24.28,2.96,207,74,198263.91
2010/3/17,3214.22,3274,3207.27,3273.92,625.87,0.43,24.76,3.02,297,0,202219.52
2010/3/18,3277.88,3295.37,3256.59,3267.56,625.09,0.44,24.66,3.01,121,167,201660.23
2010/3/19,3270.98,3296.41,3251.14,3293.87,621.14,0.43,24.82,3.03,241,42,203205.72
2010/3/22,3297.82,3313.92,3288.51,3302.63,656.53,0.47,24.82,3.03,147,140,203445.66
2010/3/23,3305.55,3309.12,3272.92,3275.57,621.46,0.44,24.51,3.01,67,222,202029.07
2010/3/24,3282.05,3298.54,3271.03,3276.67,583.3,0.42,24.03,3,122,163,202175.55
2010/3/25,3270.39,3270.39,3222.82,3229.13,586.05,0.42,24.18,2.96,35,259,199741.85
2010/3/26,3226.8,3285.39,3220.59,3275,615.93,0.45,24.27,2.98,274,19,202403.48
2010/3/29,3295.76,3363.61,3293.67,3358.54,1103.27,0.8,24.21,3.04,274,23,207297.62
2010/3/30,3361.35,3372.27,3350.31,3366.71,786.83,0.53,24.24,3.04,155,132,207652.99
2010/3/31,3369.19,3369.9,3338.75,3345.61,721.21,0.5,23.84,3.01,73,213,205968.78
2010/4/1,3349.88,3392.48,3349.88,3391.94,923.6,0.64,24.1,3.04,280,14,208302.47
2010/4/2,3400.14,3412.2,3391.81,3407.35,990.41,0.65,24.09,3.05,188,99,209024.85
2010/4/6,3422.85,3436.29,3386.89,3405.15,939.86,0.61,24.08,3.05,141,148,208902.76
2010/4/7,3403.09,3404.58,3369.02,3386.95,767.33,0.51,23.95,3.04,98,189,207973.66
2010/4/8,3381.31,3381.31,3336.16,3346.74,893.17,0.58,23.23,2.97,74,214,205594.92
2010/4/9,3348.77,3379.4,3342.47,3379.17,755.9,0.48,23.31,3,255,30,207212.09
2010/4/12,3388.36,3393.56,3330.3,3351.48,1059.97,0.7,23.1,2.97,104,180,205435.69
2010/4/13,3350.73,3401.71,3324.05,3391.72,1164.4,0.75,23.29,3.01,185,104,208480.95
2010/4/14,3394.64,3404.52,3377.44,3403.71,907.88,0.57,23.16,3.01,182,107,208409.04
2010/4/15,3407.03,3412.94,3365.88,3394.57,887,0.57,23.18,3.02,92,183,208685.91
2010/4/16,3388.29,3388.29,3348.78,3356.33,672.36,0.44,22.81,2.98,68,210,206099.95
2010/4/19,3313.5,3313.5,3175.44,3176.42,1188.56,0.83,21.38,2.83,15,279,195829.3
2010/4/20,3176.41,3196.65,3130.96,3173.37,880.06,0.6,21.07,2.81,140,136,195219.05
2010/4/21,3178.88,3237.54,3164.77,3236.68,933.73,0.63,21.19,2.85,287,5,198325.71
2010/4/22,3222.68,3231.99,3177.73,3201.54,989.7,0.66,20.86,2.81,87,197,195451.04
2010/4/23,3198.78,3224.74,3172.58,3190,921.16,0.57,20.27,2.79,117,163,194578.9
2010/4/26,3195.46,3207.72,3168.37,3172,749.59,0.48,19.92,2.77,105,179,193408.29
2010/4/27,3163.1,3163.1,3060.85,3108.41,880.58,0.61,19.31,2.71,37,250,189778.24
2010/4/28,3080.32,3122.12,3062.09,3097.35,654.85,0.42,18.78,2.68,115,168,189491.06
2010/4/29,3114.94,3130.7,3059.8,3060.06,692.51,0.44,18.25,2.64,43,240,188471.82
2010/4/30,3060.12,3068.13,3014.07,3067.37,731.91,0.5,17.72,2.6,136,155,189819.7
2010/5/4,3005.49,3056.08,2994.92,3019.45,545.59,0.38,17.49,2.57,83,212,187256.97
2010/5/5,2981.78,3036.87,2943.36,3036.39,808.35,0.54,17.52,2.57,217,73,187674.03
2010/5/6,3014.91,3014.91,2895.39,2896.86,815.02,0.53,16.79,2.47,15,279,179763.91
2010/5/7,2835.88,2892.53,2817.15,2836.79,791.47,0.55,16.49,2.42,53,238,176553.13
2010/5/10,2842.37,2872.31,2798.52,2858.23,649.09,0.45,16.62,2.44,189,96,178036.01
2010/5/11,2916.34,2922.13,2790.7,2800.82,738.95,0.53,16.34,2.4,33,257,175033.7
