date,open,high,low,close,volume
2024/1/2,"14,873.70",14887.8,14682.38,14765.94,5324385964
2024/1/3,"14,641.47",14694.58,14577.44,14592.21,5030139680
2024/1/4,"14,532.23",14632.77,14504.78,14510.3,4958680069
2024/1/5,"14,500.11",14625.19,14477.57,14524.07,4843481738
2024/1/8,"14,564.47",14846.9,14560.2,14843.77,5862601677
2024/1/9,"14,744.13",14894.32,14716.71,14857.71,4755728692
2024/1/10,"14,877.70",14998.2,14842.7,14969.65,4035606811
2024/1/11,"15,020.95",15063.61,14800.38,14970.19,4549558171
2024/1/12,"15,001.01",15047.25,14931.88,14972.76,4568125622
2024/1/16,"14,908.26",15004.35,14863.81,14944.35,6040759690
2024/1/17,"14,814.77",14865.76,14706.23,14855.62,4706690938
2024/1/18,"14,994.52",15066.81,14911.11,15055.65,5076979314
2024/1/19,"15,122.38",15310.97,15087.2,15310.97,5080348500
2024/1/22,"15,393.05",15438.85,15333.63,15360.29,5028337159
2024/1/23,"15,391.41",15432.35,15337.23,15425.94,4912413590
2024/1/24,"15,560.61",15629.07,15468.91,15481.92,4505433254
2024/1/25,"15,555.62",15597.25,15430.68,15510.5,4745233557
2024/1/26,"15,474.85",15538.84,15433.04,15455.36,4132771847
2024/1/29,"15,470.66",15630.59,15449.87,15628.04,4631683691
2024/1/30,"15,604.08",15619.23,15484.67,15509.9,4448107057
2024/1/31,"15,324.19",15405.56,15158.49,15164.01,5237938298
2024/2/1,"15,254.02",15372.13,15208.88,15361.64,4511957118
2024/2/2,"15,403.16",15664.21,15366.78,15628.95,4222109303
2024/2/5,"15,613.99",15637.88,15471.68,15597.68,4332388840
2024/2/6,"15,638.19",15652.75,15515.25,15609,4328969553
2024/2/7,"15,690.35",15770.68,15645.81,15756.64,4236861848
2024/2/8,"15,762.23",15813.27,15739.18,15793.72,5373177211
2024/2/20,"15,679.84",15730.47,15508.5,15630.78,5129253554
2024/2/21,"15,532.12",15583.68,15451.65,15580.87,4519219656
2024/2/22,"15,904.48",16061.82,15869.24,16041.62,5150205428
2024/2/23,"16,094.80",16134.22,15954.5,15996.82,4691340721
2024/2/26,"16,014.45",16054.9,15973.9,15976.25,5052831241
2024/2/27,"16,013.98",16046.1,15940.51,16035.3,5085065864
2024/2/28,"15,969.14",16003.56,15924.72,15947.74,5000953006
2024/2/29,"16,059.34",16115.96,15931.7,16091.92,5861727367
2024/3/1,"16,119.07",16302.24,16096.6,16274.94,4975036943
2024/3/4,"16,264.21",16289.06,16199.06,16207.51,5363555197
2024/3/5,"16,077.74",16087.57,15862.63,15939.59,5813506716
2024/3/6,"16,092.00",16128.56,15956.66,16031.54,4986181924
2024/3/7,"16,147.32",16309.02,16096.01,16273.38,4643832652
2024/3/8,"16,322.10",16449.7,16059.5,16085.11,4678009950
2024/3/11,"16,052.63",16085.95,15978.04,16019.27,4448877832
2024/3/12,"16,116.98",16275.45,15992.98,16265.64,4591168204
2024/3/13,"16,220.11",16233.3,16143.34,16177.77,4407176073
2024/3/14,"16,209.19",16245.32,16039.68,16128.53,4744868557
2024/3/15,"16,043.58",16055.33,15925.91,15973.17,7707942851
2024/3/18,"16,154.92",16247.59,16094.166,16103.448,4610426729
2024/3/19,"16,031.93",16175.59,15951.86,16166.79,4326031684
2024/3/20,"16,185.76",16377.44,16127.48,16369.41,4855265664
2024/3/21,"16,517.24",16538.86,16393.9,16401.84,4734624779
2024/3/22,"16,387.83",16467.62,16361,16428.82,3995702382
2024/3/25,"16,335.30",16441.17,16315.72,16384.47,4290152559
2024/3/26,"16,446.85",16476.38,16312.95,16315.7,4788112670
2024/3/27,"16,424.76",16431.83,16279.17,16399.52,4350022300
2024/3/28,"16,377.23",16420.92,16347.38,16379.46,4863731075
2024/4/1,"16,397.05",16490.65,16327.89,16396.83,4373510234
2024/4/2,"16,199.24",16251.41,16137.24,16240.45,4325235799
2024/4/3,"16,178.80",16340.74,16169.31,16277.46,4833224032
2024/4/8,"16,285.18",16323.596,16220.717,16253.955,4068718906
2024/4/9,"16,328.13",16348.176,16141.154,16306.639,4497501674
2024/4/10,"16,104.01",16200.1,16092.02,16170.36,4640557603
2024/4/11,"16,236.20",16464.6,16154.65,16442.2,4190714139
2024/4/12,"16,293.03",16341.455,16125.327,16175.094,4004680779
2024/4/15,"16,276.47",16295.27,15863.88,15885.02,4271645716
2024/4/16,"15,856.38",15965.79,15822.02,15865.25,4455049762
2024/4/17,"15,942.29",15957.03,15654.51,15683.37,4437447328
2024/4/18,"15,705.70",15786.12,15587.5,15601.5,4364740446
2024/4/19,"15,547.10",15576.7,15222.78,15282.01,4622963527
2024/4/22,"15,396.13",15539,15265.66,15451.31,4214263719
2024/4/23,"15,525.55",15730.35,15510.59,15696.64,4547651367
2024/4/24,"15,805.60",15839,15634.44,15712.75,4296770432
2024/4/25,"15,375.26",15644.51,15343.91,15611.76,4330916786
2024/4/26,"15,821.34",15981,15770.72,15927.9,4289277784
2024/4/29,"16,007.00",16021.5,15885.89,15983.08,4544254215
2024/4/30,"15,920.89",15979.36,15655.67,15657.82,4729786447
2024/5/6,"16,208.54",16350.08,16197.86,16349.25,4125373253
2024/5/7,"16,358.34",16397.39,16303.84,16332.56,4712642155
2024/5/8,"16,226.07",16341.65,16226.07,16302.76,4210314024
2024/5/9,"16,323.74",16362.79,16241.98,16346.27,4262491202
2024/5/10,"16,389.02",16437.39,16293.52,16340.87,4074002963
2024/5/13,"16,400.31",16407.05,16334.86,16388.24,4243142592
2024/5/14,"16,391.16",16526.27,16386.44,16511.18,7081184249
2024/5/15,"16,601.14",16749.74,16544.09,16742.39,8444881946
2024/5/16,"16,738.11",16797.83,16693.45,16698.32,12049873797
2024/5/17,"16,708.49",16726.41,16613.84,16685.97,9544903525
2024/5/20,"16,702.02",16823.83,16695.69,16794.87,7025188320
2024/5/21,"16,736.10",16839.02,16719.97,16832.62,6154539647
2024/5/22,"16,839.02",16855.27,16712.09,16801.54,7374878911
2024/5/23,"16,996.39",16996.39,16678.37,16736.03,7354279027
2024/5/24,"16,786.79",16947.8,16771.58,16920.79,5646156665
2024/5/28,"16,988.32",17032.66,16917.51,17019.88,6053442657
2024/5/29,"16,879.35",16989.6,16873.97,16920.58,6468746010
2024/5/30,"16,878.63",16900.46,16690.36,16737.08,6417983520
2024/5/31,"16,771.90",16789.27,16445.54,16735.02,6285713266
2024/6/3,"16,865.70",16909.89,16646.43,16828.67,4999584351
2024/6/4,"16,823.88",16891.87,16750.39,16857.05,4583974184
2024/6/5,"16,974.48",17187.92,16955.56,17187.91,4925135985
2024/6/6,"17,204.87",17235.73,17123.59,17173.12,4646598125
2024/6/7,"17,124.14",17229.31,17090.05,17133.13,4415703252
2024/6/11,"17,160.42",17345.05,17107.99,17343.55,4664327189
2024/6/12,"17,502.15",17725.39,17490.64,17608.44,5039489829
2024/6/13,"17,715.27",17741.8,17566.32,17667.56,4505527773
2024/6/14,"17,621.18",17693.43,17590.8,17688.88,4636414959
2024/6/17,"17,697.30",17935.99,17636.36,17857.02,5716859276
2024/6/18,"17,856.76",17890.52,17796.88,17862.23,5485482479
2024/6/20,"17,913.94",17936.79,17650.7,17721.59,5809573981
2024/6/21,"17,681.01",17787.34,17620.57,17689.36,8711608144
2024/6/24,"17,640.26",17730.12,17494.02,17496.82,5041166850
2024/6/25,"17,572.16",17734.35,17546.63,17717.65,4526280703
2024/6/26,"17,697.27",17813.55,17687.07,17805.16,4958581699
2024/6/27,"17,793.95",17892.78,17765.42,17858.68,5033495686
2024/6/28,"17,891.10",18035,17723.83,17732.6,8720735005
2024/7/1,"17,773.90",17894.284,17657.642,17879.3,4671109939
2024/7/2,"17,808.04",18031.288,17802.237,18028.763,4083310963
2024/7/3,"18,016.12",18188.302,18016.124,18188.302,3311883243
2024/7/5,"18,200.60",18366.309,18197.135,18352.759,4416216228
2024/7/8,"18,371.86",18416.941,18342.6,18403.738,4906473213
2024/7/9,"18,465.02",18511.89,18381.604,18429.291,4413952172
2024/7/10,"18,512.09",18655.192,18467.581,18647.448,4863151246
2024/7/11,"18,659.25",18671.069,18238.782,18283.407,5677458609
2024/7/12,"18,303.64",18556.726,18293.595,18398.445,5327175842
2024/7/15,"18,485.91",18641.532,18397.834,18472.566,4991555705
2024/7/16,"18,534.27",18576.83,18386.07,18509.34,5373317905
2024/7/17,"18,188.19",18223.24,17972.87,17996.92,5454661660
2024/7/18,"18,119.15",18130.87,17759.54,17871.22,5378033415
2024/7/19,"17,835.59",17935.14,17691.43,17726.94,4529807822
2024/7/22,"17,923.65",18040.99,17839.76,18007.57,4632332829
2024/7/23,"17,982.74",18128.38,17968.1,17997.35,4663146413
2024/7/24,"17,733.91",17747.06,17313.52,17342.41,6115086141
2024/7/25,"17,352.64",17544.46,17033.96,17181.72,5341341504
2024/7/26,"17,331.95",17454.57,17239.99,17357.88,4357510350
2024/7/29,"17,444.39",17535.32,17299.83,17370.2,4362874844
2024/7/30,"17,424.10",17468.56,17015.38,17147.42,5029453312
2024/7/31,"17,499.23",17693.98,17438.6,17599.4,5581709366
2024/8/1,"17,647.03",17791.58,17051.42,17194.15,5760744162
2024/8/2,"16,780.45",16920.63,16582.79,16776.16,5372988907
2024/8/5,"15,712.53",16453.46,15708.54,16200.08,5544759119
2024/8/6,"16,261.36",16620.32,16137.65,16366.85,5116025962
2024/8/7,"16,622.31",16709.81,16179.53,16195.81,5108086750
2024/8/8,"16,408.27",16694.25,16262.93,16660.02,5103667958
2024/8/9,"16,636.52",16789.22,16574.57,16745.3,5339938368
2024/8/12,"16,793.64",16895.79,16699.39,16780.61,4478830582
2024/8/13,"16,944.74",17192.79,16943.95,17187.61,5004183683
2024/8/14,"17,227.64",17260.73,17032.17,17192.6,4565651013
2024/8/15,"17,394.55",17602.72,17375.41,17594.5,4950204259
2024/8/16,"17,516.40",17674.65,17502.82,17631.72,4711852290
2024/8/19,"17,649.74",17877.44,17585.58,17876.77,5253927835
2024/8/20,"17,849.09",17932.53,17758.2,17816.94,4906944098
2024/8/21,"17,840.51",17963.07,17790.98,17918.99,4410630567
2024/8/22,"17,993.72",18017.69,17589.15,17619.35,4557745382
2024/8/23,"17,772.73",17941.27,17700.27,17877.79,4870463259
2024/8/26,"17,867.85",17909.09,17645.69,17725.77,4722969441
2024/8/27,"17,655.52",17789.72,17573.37,17754.82,3996037062
2024/8/28,"17,738.80",17759.94,17439.4,17556.03,4884679185
2024/8/29,"17,610.57",17789.21,17482.6,17516.43,5196754334
2024/8/30,"17,650.49",17720.37,17498.79,17713.62,5100222165
2024/9/3,"17,585.45",17585.45,17057.79,17136.3,5169296643
2024/9/4,"17,015.71",17232.65,16984.67,17084.3,4421000381
2024/9/5,"17,063.24",17295.58,17035.07,17127.66,4294272178
2024/9/6,"17,137.62",17166.54,16668.57,16690.83,4740409407
2024/9/9,"16,835.67",16923.28,16732.83,16884.6,4610153334
2024/9/10,"16,949.64",17036.07,16801.13,17025.88,4522530429
2024/9/11,"17,061.41",17420.23,16787.84,17395.53,5407627269
2024/9/12,"17,413.89",17605.72,17338.32,17569.68,4418095533
2024/9/13,"17,575.26",17719.14,17564.61,17683.98,4370017766
2024/9/18,"17,663.38",17832.7,17556.42,17573.3,5015757982
2024/9/19,"17,980.89",18099.93,17909.75,18013.98,4956856632
2024/9/20,"17,999.35",18024.34,17835.64,17948.32,9803718648
2024/9/23,"17,994.91",18021.58,17936.37,17974.27,4919476247
2024/9/24,"18,046.44",18091.96,17863.38,18074.52,4939401366
2024/9/25,"18,050.36",18155.03,18040.62,18082.21,4493175849
2024/9/26,"18,327.34",18327.34,18071.74,18190.29,5126032088
2024/9/27,"18,228.78",18238.28,18069.18,18119.59,4920703269
2024/9/30,"18,069.83",18198.16,17997.56,18189.17,5363676304
2024/10/8,"18,017.93",18203.04,17989.7,18182.92,5136597377
2024/10/9,"18,179.22",18302.05,18133.02,18291.62,4729883559
2024/10/10,"18,200.62",18333.39,18154.18,18282.05,5363374540
2024/10/11,"18,217.73",18375.53,18208.44,18342.94,4683606808
2024/10/14,"18,426.66",18547.92,18423.6,18502.69,4495373162
2024/10/15,"18,515.97",18564.25,18252.52,18315.59,5921282516
2024/10/16,"18,333.29",18383.11,18214.96,18367.08,4921615823
2024/10/17,"18,537.21",18541.46,18368.79,18373.61,5362066786
2024/10/18,"18,466.00",18524.33,18452.58,18489.55,4732569863
2024/10/21,"18,456.48",18543.58,18377.62,18540.01,5603754772
2024/10/22,"18,451.86",18620.71,18413.47,18573.13,6093052765
2024/10/23,"18,502.06",18509.19,18146.61,18276.65,5741689071
2024/10/24,"18,384.15",18435.37,18305.42,18415.49,5212703539
2024/10/25,"18,512.58",18690.01,18487.06,18518.61,5367742319
2024/10/28,"18,648.25",18671.01,18563.02,18567.19,5187901400
2024/10/29,"18,576.09",18753.19,18509.59,18712.75,6423352286
2024/10/30,"18,731.69",18785.49,18598.24,18607.93,6068959058
2024/10/31,"18,427.31",18427.31,18083.95,18095.15,5763537511
2024/11/1,"18,189.67",18363.94,18181.53,18239.92,5303070805
2024/11/4,"18,220.43",18308.3,18112.83,18179.98,5318939187
2024/11/5,"18,250.71",18449.67,18250.71,18439.17,6578344269
2024/11/6,"18,772.76",19000.5,18730.21,18983.47,7212890106
2024/11/7,"19,084.43",19301.7,19084.43,19269.46,8804563664
2024/11/8,"19,255.14",19318.56,19224.43,19286.78,6605767640
2024/11/11,"19,355.34",19366.07,19193.29,19298.76,7445346086
2024/11/12,"19,289.81",19343.05,19168.52,19281.4,7235570305
2024/11/13,"19,286.46",19358.48,19191.13,19230.73,9251994115
2024/11/14,"19,256.09",19275.8,19073.39,19107.65,8254367707
2024/11/15,"18,929.92",18936.75,18598.87,18680.12,7335817375
2024/11/18,"18,717.93",18865.28,18672.3,18791.81,8009491241
2024/11/19,"18,699.71",18992.08,18689.83,18987.47,6935578858
2024/11/20,"18,971.31",18974.91,18724.39,18966.14,6793864172
2024/11/21,"19,072.78",19110.89,18714.06,18972.42,6914066868
2024/11/22,"18,966.32",19025.77,18899.48,19003.65,6160612489
2024/11/25,"19,140.59",19208.68,18969.35,19054.84,7444925235
2024/11/26,"19,109.08",19184.4,19100.73,19175.58,6010594931
2024/11/27,"19,132.99",19133.11,18937.2,19060.48,5225660963
2024/11/29,"19,087.47",19245.4883,19066.5204,19218.17,3783934086
2024/12/2,"19,255.42",19436.92,19255.42,19403.95,5903028052
2024/12/3,"19,364.34",19486.15,19340.41,19480.91,5695278657
2024/12/4,"19,587.48",19741.76,19575.4,19735.12,7569329054
2024/12/5,"19,756.40",19790.03,19688.59,19700.26,6785336736
2024/12/6,"19,743.96",19863.14,19734.42,19859.77,6399017960
2024/12/9,"19,824.09",19872.79,19698.05,19736.69,7430693348
2024/12/10,"19,796.39",19887.08,19641.34,19687.24,6451565080
2024/12/11,"19,832.96",20055.93,19830.64,20034.89,6217963867
2024/12/12,"19,947.34",20018.24,19897.38,19902.84,6648418956
2024/12/13,"19,995.18",20061.65,19817.47,19926.72,5607410696
2024/12/16,"20,016.12",20204.58,19988.12,20173.89,8373266287
2024/12/17,"20,095.62",20148.83,20004.73,20109.06,9093653642
2024/12/18,"20,114.98",20179.77,19336.59,19392.69,9394501994
2024/12/19,"19,565.66",19623.02,19357.76,19372.77,7363198890
2024/12/20,"19,190.04",19758.61,19168.38,19572.6,10776093097
2024/12/23,"19,641.05",19772.09,19504.68,19764.89,6438065748
2024/12/24,"19,818.48",20031.13,19813.7641,20031.13,4461174292
2024/12/26,"19,979.25",20070.08,19888.11,20020.36,6229849963
2024/12/27,"19,896.77",19904.77,19553.4,19722.03,7382810321
2024/12/30,"19,460.41",19622.93,19342.51,19486.78,8098508842
2024/12/31,"19,551.36",19563.72,19283.41,19310.79,8415692513
2025/1/2,"19,403.90",19517.87,19117.59,19280.79,8288803561
2025/1/3,"19,395.51",19638.66,19379.57,19621.68,7902651279
2025/1/6,"19,851.99",20007.95,19785,19864.98,9632572072
2025/1/7,"19,938.08",19940.21,19421.02,19489.68,13188180982
2025/1/8,"19,469.36",19544.5,19308.54,19478.88,8443883116
